flight_id,aircraft_type,zero_fuel_weight_kg,planned_duration_min,planned_altitude_ft,max_altitude_ft,avg_speed_kts,median_speed_kts,std_dev_altitude_ft,duration_climb_min,duration_cruise_min,avg_fuel_flow_climb_kgs,avg_fuel_flow_cruise_kgs,avg_headwind_kts,departure_temperature_c,had_bad_weather,engine_health_modifier,flight_path_deviation_pct,weight_x_wind,alt_x_temp,total_fuel_consumed_kg
FLIGHT_0020,B777,162072,494,37010,37176,416,415,35.24,38.89,420.17,7.79,5.22,-4.32,34,1,1.016,1.33,-699729.7,1258340,154127.18
FLIGHT_0021,B737,57668,202,31227,30842,438,439,51.41,31.12,142.17,4.99,3.54,-18.23,31,0,1.023,2.85,-1051111.96,968037,37726.49
FLIGHT_0022,B737,50070,167,33917,34278,433,434,63.98,34.48,97.46,5.34,3.38,-4.89,33,1,1.007,2.74,-244904.37,1119261,32551.05
FLIGHT_0023,A320,64787,165,34314,34386,429,429,148.63,36.7,93.18,5.27,3.5,19.96,24,0,0.986,2.62,1293236.44,823536,38296.53
FLIGHT_0024,A330,121410,458,40454,40777,441,439,111.82,38.92,383.74,6.73,4.51,-4.29,34,0,0.986,1.01,-520773.03,1375436,118761.77
FLIGHT_0025,B737,64635,66,31724,31293,469,468,99.07,29.58,7.57,5.12,3.38,-4.89,32,1,1.032,0.27,-316060.83,1015168,12447.64
FLIGHT_0026,A320,46919,208,31790,31704,434,432,122.12,31.17,145.19,4.66,3.05,-13.42,34,0,0.988,1.79,-629643.82,1080860,32916.89
FLIGHT_0027,B777,123117,462,33390,33530,455,455,119.19,31.93,402.09,6.85,4.68,-18.82,25,0,1.012,1.34,-2316619.19,834750,118080.99
FLIGHT_0028,A320,54088,150,37059,36851,472,472,146.71,38.93,75.13,5.29,3.43,10.69,25,1,1.057,2.97,578347.39,926475,34744.45
FLIGHT_0029,A330,130513,428,31260,31078,479,480,48.92,33.73,361.96,7.55,4.9,7.65,23,0,1.067,1.39,998557.47,718980,139694.97
FLIGHT_0030,B777,139817,311,37350,37656,412,413,106.5,39.61,228.32,7.85,5.09,27.38,31,1,1.067,2.8,3828121.54,1157850,114566.24
FLIGHT_0031,B737,62045,123,32813,32410,427,427,107.58,31.42,60.3,5.26,3.48,21.97,30,0,1.062,2.2,1363365.48,984390,30676.52
FLIGHT_0032,B737,47757,174,38758,38560,417,417,63.62,38.58,93.88,4.89,3.26,1.83,28,1,1.022,0.1,87540.78,1085224,33260.91
FLIGHT_0033,B737,60834,186,36883,36421,403,401,123.5,36.25,114.44,5.27,3.61,-2.1,22,1,1.015,1.14,-127678.45,811426,38630.62
FLIGHT_0034,B737,50528,210,38789,38873,465,463,139.44,41.29,125.0,5.25,3.34,-9.68,27,1,0.999,0.66,-488987.02,1047303,38154.82
FLIGHT_0035,A320,57050,232,40204,40659,409,407,38.0,38.04,159.79,4.87,3.17,17.75,33,0,0.983,0.35,1012614.33,1326732,48766.33
FLIGHT_0036,A330,134478,590,36128,36437,422,424,133.55,38.36,517.73,7.88,5.05,21.68,23,0,0.983,1.96,2915510.53,830944,197537.3
FLIGHT_0037,B777,138864,710,37891,38328,465,464,83.81,38.36,630.54,6.94,4.86,-17.04,32,0,1.037,2.15,-2365676.14,1212512,196548.59
FLIGHT_0038,B737,52596,229,32266,32588,442,441,59.31,29.98,167.25,4.97,3.26,18.08,34,0,1.045,2.8,951027.02,1097044,52841.58
FLIGHT_0039,A330,139587,624,39538,39430,441,441,104.67,37.72,552.74,6.82,4.82,26.57,34,1,0.99,2.96,3709178.41,1344292,206541.71
FLIGHT_0040,A320,49098,148,40100,40298,451,449,128.25,38.59,71.72,4.86,3.3,10.16,24,1,1.007,1.31,498720.99,962400,30617.19
FLIGHT_0041,A320,55371,233,32271,32352,417,418,59.21,32.24,165.42,5.13,3.56,-10.2,26,1,1.034,0.54,-564683.62,839046,45290.88
FLIGHT_0042,B737,51242,107,37091,36655,452,453,37.89,35.05,38.1,4.65,3.18,27.24,27,1,1.051,0.78,1396089.68,1001457,24505.02
FLIGHT_0043,A330,170141,376,38569,38183,472,473,83.05,39.24,298.04,8.11,5.69,29.42,28,1,1.04,2.68,5005904.9,1079932,149758.67
FLIGHT_0044,A330,123317,375,35333,34906,425,424,122.53,37.74,301.63,6.46,4.59,-3.4,23,0,1.023,2.28,-418942.17,812659,102703.09
FLIGHT_0045,A320,56598,88,36694,36374,445,444,55.76,36.14,17.29,4.98,3.34,-10.91,30,0,1.029,0.74,-617493.44,1100820,15507.07
FLIGHT_0046,B777,138033,559,35350,35405,425,426,90.06,36.98,486.78,7.4,5.06,14.45,28,1,1.015,2.26,1994257.51,989800,185592.34
FLIGHT_0047,B737,55837,81,35814,35576,406,406,144.19,35.47,12.57,4.97,3.31,18.74,23,0,1.005,2.4,1046507.53,823722,17410.46
FLIGHT_0048,A320,58346,136,31308,31116,460,459,125.02,29.5,78.86,4.94,3.46,-12.92,30,1,1.039,0.82,-753591.96,939240,25441.39
FLIGHT_0049,A320,55585,138,33345,33813,441,440,114.54,30.7,77.31,4.8,3.33,7.4,25,1,1.003,0.32,411191.04,833625,28041.61
FLIGHT_0050,B777,135719,550,36598,36206,439,439,116.96,38.84,476.27,7.02,4.8,15.09,29,0,1.053,2.88,2048212.26,1061342,182433.38
FLIGHT_0051,B737,46103,133,30062,29841,400,401,110.16,29.62,76.55,4.59,3.12,17.93,30,1,1.054,2.23,826854.4,901860,29475.1
FLIGHT_0052,B777,126928,367,32905,33016,466,467,99.06,34.04,300.69,6.6,4.67,8.24,30,0,1.016,0.84,1045663.85,987150,106775.26
FLIGHT_0053,B737,52821,66,30694,30385,441,440,83.82,28.02,10.34,4.63,3.23,2.54,27,0,0.991,1.92,134220.33,828738,11637.64
FLIGHT_0054,B777,156163,314,36071,35968,458,459,58.16,37.22,242.04,7.33,5.22,-7.45,27,0,1.019,0.91,-1163908.19,973917,93708.96
FLIGHT_0055,A320,59117,93,40474,40818,421,420,73.26,39.02,15.57,5.2,3.45,17.19,33,1,1.063,2.84,1015975.92,1335642,21661.7
FLIGHT_0056,A320,45614,168,37844,37985,442,442,29.7,39.78,89.26,4.86,3.1,25.6,22,1,1.058,2.12,1167810.03,832568,39436.8
FLIGHT_0057,A330,161394,670,35756,36217,456,455,145.66,34.62,600.51,8.29,5.5,26.66,30,1,0.981,1.28,4302647.98,1072680,243559.09
FLIGHT_0058,B737,53253,198,34178,34201,430,432,61.43,31.69,134.07,4.46,3.08,26.59,23,0,1.013,2.0,1416008.21,786094,43679.8
FLIGHT_0059,B737,54789,183,39186,39611,471,470,55.11,38.72,106.11,5.06,3.32,4.98,30,1,1.005,0.32,272675.79,1175580,36512.69
FLIGHT_0060,A330,159176,450,34603,35018,468,469,71.79,36.61,378.49,7.66,5.47,11.57,33,0,0.997,2.85,1841028.94,1141899,155633.72
FLIGHT_0061,B777,127921,497,32342,31974,456,457,69.6,31.56,435.01,6.94,4.81,0.29,33,1,1.056,0.04,36495.02,1067286,149645.4
FLIGHT_0062,B777,139617,445,31985,31729,449,448,111.27,34.77,378.01,7.22,5.06,-15.92,22,0,1.002,1.37,-2222047.1,703670,123302.38
FLIGHT_0063,A330,130675,641,34617,34755,436,437,147.79,37.14,566.06,7.09,4.67,-18.72,26,1,1.055,0.04,-2445742.87,900042,167964.34
FLIGHT_0064,B777,136648,491,35316,35724,462,463,32.0,36.48,421.74,7.19,4.88,-0.08,26,1,1.042,1.08,-10320.2,918216,149033.38
FLIGHT_0065,A330,149518,418,39038,38916,447,447,97.6,39.78,337.59,8.43,5.27,0.73,33,0,1.037,0.21,109331.77,1288254,135543.53
FLIGHT_0066,B737,57271,81,39829,39929,444,444,56.73,37.02,4.27,5.08,3.43,28.11,32,1,1.032,1.46,1609666.59,1274528,18778.88
FLIGHT_0067,B737,50173,189,34214,33895,440,438,82.39,31.23,129.49,4.39,3.08,-13.94,34,1,1.05,0.5,-699310.5,1163276,31622.34
FLIGHT_0068,B777,175263,312,30237,29774,456,457,77.07,33.01,246.08,8.06,5.73,13.75,24,0,0.987,1.0,2410628.62,725688,109204.03
FLIGHT_0069,B777,167483,568,37369,37854,414,415,90.36,35.86,496.69,8.62,5.46,-3.5,22,1,1.002,2.14,-586578.82,822118,185914.67
FLIGHT_0070,B737,50267,136,35492,35517,471,471,60.78,34.35,69.74,4.41,3.09,10.53,29,0,1.049,1.86,529248.74,1029268,27079.24
FLIGHT_0071,A320,56441,71,30679,30717,436,437,39.64,32.64,7.76,5.35,3.45,17.7,22,0,0.981,0.93,998779.57,674938,15569.31
FLIGHT_0072,B737,51526,166,34420,34044,450,451,55.28,33.45,101.6,4.73,3.15,22.33,23,1,0.999,2.34,1150626.05,791660,36786.97
FLIGHT_0073,A320,45812,64,40529,40094,451,452,71.4,39.83,0.0,5.1,3.25,-16.24,31,1,1.024,1.03,-744215.5,1256399,13236.2
FLIGHT_0074,A330,131482,615,38451,38494,423,422,46.51,41.35,537.26,7.42,4.81,-9.77,31,0,1.037,0.81,-1284055.97,1191981,175131.28
FLIGHT_0075,A320,61652,66,39324,39284,448,449,88.51,39.98,0.0,5.24,3.31,29.09,30,0,1.019,0.42,1793433.11,1179720,17870.22
FLIGHT_0076,A330,146131,547,39316,39044,479,480,66.79,41.73,465.98,7.5,5.28,18.22,30,1,1.04,2.12,2662112.12,1179480,195085.28
FLIGHT_0077,B737,62359,65,32555,32159,465,464,74.8,32.31,1.29,5.2,3.41,29.12,31,1,1.034,0.0,1816128.0,1009205,15402.03
FLIGHT_0078,A330,133533,544,32130,31817,461,461,126.17,30.54,480.26,7.64,4.96,1.78,34,0,0.983,0.73,238217.12,1092420,159560.6
FLIGHT_0079,B737,62549,216,38515,38045,471,472,37.25,36.34,141.2,5.36,3.4,21.21,23,0,1.052,1.57,1326861.62,885845,52223.18
FLIGHT_0080,A330,167565,474,37748,37937,447,447,20.23,37.92,400.18,8.18,5.55,12.78,27,1,1.019,0.62,2140912.86,1019196,168791.84
FLIGHT_0081,A320,48411,161,33281,33425,459,460,149.24,31.73,95.75,4.62,3.08,-11.46,22,1,0.981,2.34,-554925.49,732182,25554.86
FLIGHT_0082,A330,164290,703,36120,35886,474,474,78.64,35.86,630.17,8.08,5.57,15.44,32,0,0.981,2.81,2536576.96,1155840,249121.88
FLIGHT_0083,B777,125752,617,30495,30349,440,440,73.44,29.76,556.24,7.28,4.66,27.34,22,1,1.013,0.45,3438706.77,670890,199737.46
FLIGHT_0084,A320,59008,149,30156,29773,414,414,54.05,32.93,81.05,5.13,3.47,14.77,24,1,1.01,0.51,871555.62,723744,33000.9
FLIGHT_0085,B777,132610,593,40695,41068,459,461,47.04,41.26,509.1,7.18,4.64,-9.25,26,0,1.046,0.49,-1226918.61,1058070,162000.2
FLIGHT_0086,A330,129640,586,30274,30721,409,408,124.19,29.11,528.75,7.51,4.79,25.29,27,1,1.032,0.63,3278777.92,817398,196529.0
FLIGHT_0087,A330,122756,553,33616,33134,462,464,101.28,35.02,480.12,6.69,4.63,-2.18,34,0,1.067,1.24,-267294.49,1142944,159669.01
FLIGHT_0088,B777,175483,369,32949,33108,469,467,120.66,34.96,297.52,8.83,5.76,-13.88,25,0,1.039,1.97,-2435067.88,823725,124411.64
FLIGHT_0089,A330,150398,651,40383,40106,477,475,116.37,42.74,564.93,7.56,5.09,3.41,29,0,1.064,1.69,512441.69,1171107,214860.42
FLIGHT_0090,A320,45080,147,31781,32279,428,426,106.11,33.7,77.66,4.89,3.16,25.75,33,1,0.992,0.14,1160720.2,1048773,31885.17
FLIGHT_0091,A320,45667,200,37821,37602,427,428,91.82,35.3,126.54,4.67,3.21,22.82,27,1,1.045,1.49,1042298.94,1021167,45728.64
FLIGHT_0092,B777,170665,370,40669,40674,441,440,47.92,41.01,289.09,8.29,5.59,16.01,30,1,1.012,2.23,2732392.79,1220070,133893.03
FLIGHT_0093,A330,169983,507,39502,39515,435,434,95.03,38.25,434.98,8.76,5.82,-6.38,24,1,1.063,1.7,-1084342.37,948048,184761.3
FLIGHT_0094,A320,52887,104,37854,37791,411,413,59.03,39.07,23.51,4.92,3.29,-6.47,29,0,1.065,0.07,-342342.29,1097766,18183.05
FLIGHT_0095,A320,58932,211,32490,32489,440,440,119.0,31.52,149.75,5.03,3.48,-5.25,22,0,1.023,0.7,-309303.23,714780,41875.31
FLIGHT_0096,A320,58796,95,33474,33111,446,445,37.86,31.51,30.96,5.02,3.44,23.73,31,1,0.992,2.54,1394996.21,1037694,21327.88
FLIGHT_0097,B777,132314,486,31436,31212,457,456,140.88,34.07,420.28,7.16,4.82,-0.01,32,1,1.027,0.32,-709.54,1005952,142638.0
FLIGHT_0098,A320,64701,186,39587,39496,459,460,45.14,38.34,111.12,5.54,3.5,-15.14,33,1,1.026,0.61,-979876.25,1306371,35017.21
FLIGHT_0099,B737,52985,208,39937,39669,411,412,135.15,40.2,127.08,4.55,3.11,13.53,22,0,1.022,0.28,716988.61,878614,41762.98
FLIGHT_0100,A320,47541,81,30097,30304,425,426,68.27,28.56,25.11,4.71,3.2,-4.85,30,0,1.028,2.64,-230408.48,902910,14369.69
FLIGHT_0101,B777,123021,604,31264,31184,443,442,147.22,31.77,543.97,6.93,4.54,10.54,32,1,0.99,0.98,1296693.74,1000448,173151.02
FLIGHT_0102,B777,174491,486,38127,38434,459,459,87.49,36.53,414.01,9.23,5.81,9.37,31,1,1.024,1.52,1635046.95,1181937,180923.84
FLIGHT_0103,A320,45484,192,33014,33021,441,441,146.49,31.05,132.66,5.08,3.25,1.2,29,1,1.027,0.12,54773.81,957406,38117.3
FLIGHT_0104,A330,140563,586,32518,32183,465,466,118.24,31.66,520.41,7.4,4.88,-9.08,28,1,0.999,0.16,-1276129.08,910504,161196.55
FLIGHT_0105,A330,162775,548,37420,37741,451,451,57.32,38.21,474.3,7.72,5.36,23.88,23,0,1.005,1.44,3886944.56,860660,196354.43
FLIGHT_0106,B737,46308,172,38817,39152,450,450,74.52,40.48,87.11,4.55,2.86,22.21,26,0,0.994,0.78,1028732.76,1009242,33522.18
FLIGHT_0107,B737,64394,205,36536,36501,420,418,35.42,34.02,140.31,5.4,3.52,-7.76,27,1,1.019,1.95,-499834.36,986472,41436.02
FLIGHT_0108,A330,150308,305,37010,36827,428,429,95.73,37.01,230.35,8.16,5.14,-4.49,30,0,1.06,0.21,-675562.16,1110300,95614.3
FLIGHT_0109,A320,50470,198,36795,36875,414,413,149.34,36.93,123.05,5.0,3.26,20.1,27,0,1.057,1.49,1014680.17,993465,45942.88
FLIGHT_0110,A330,136029,320,31203,31377,431,429,133.41,30.48,259.35,7.1,4.78,11.83,26,0,1.002,1.29,1609347.51,811278,96422.19
FLIGHT_0111,A320,54797,91,31904,31413,402,401,50.46,29.69,34.21,4.76,3.27,27.23,31,0,1.015,0.61,1491968.48,989024,20799.18
FLIGHT_0112,B777,156935,516,36314,36611,421,423,131.5,33.76,449.69,8.3,5.42,15.51,22,1,1.047,0.6,2434317.13,798908,187574.03
FLIGHT_0113,A320,53087,171,40554,41030,450,448,52.99,38.57,97.16,5.07,3.22,-7.44,33,0,1.041,1.49,-394778.9,1338282,32056.26
FLIGHT_0114,A330,177620,617,34027,34498,457,455,85.12,35.57,550.12,8.68,5.84,12.61,22,0,1.022,2.31,2239504.05,748594,235849.78
FLIGHT_0115,A330,161987,316,33382,33419,404,403,145.55,31.53,254.37,8.93,5.66,3.76,30,0,1.027,1.69,608865.11,1001460,112411.98
FLIGHT_0116,A320,45737,103,38162,37924,456,455,23.45,38.06,26.32,4.58,3.12,14.76,29,0,1.055,2.16,675242.78,1106698,21179.85
FLIGHT_0117,A330,153481,621,30744,30707,400,402,56.69,32.04,554.74,7.53,5.21,1.81,26,0,1.031,2.85,278229.39,799344,203949.56
FLIGHT_0118,B737,62935,82,30550,30250,466,466,74.56,32.69,15.87,5.2,3.55,-14.96,34,0,0.986,2.98,-941782.67,1038700,13832.08
FLIGHT_0119,B777,140213,657,34474,34584,448,449,132.61,34.86,588.87,7.84,4.96,17.89,25,0,0.993,0.97,2508045.26,861850,212497.4
FLIGHT_0120,B777,133013,328,31125,31600,438,437,95.52,33.01,260.33,6.91,4.93,-7.01,33,0,1.058,0.8,-932522.49,1027125,95938.9
FLIGHT_0121,B777,131394,413,35223,34810,462,463,40.99,34.15,345.97,7.53,4.88,7.76,31,1,1.03,1.21,1019828.01,1091913,129626.24
FLIGHT_0122,B737,61231,227,34590,34465,461,459,120.74,37.2,151.6,5.07,3.39,-0.66,27,1,1.068,2.31,-40377.09,933930,47884.69
FLIGHT_0123,A320,63475,175,33361,33034,420,421,26.39,30.95,114.91,5.4,3.42,-19.06,30,1,1.025,1.56,-1210021.33,1000830,31479.2
FLIGHT_0124,B737,52681,84,33086,33579,460,461,77.23,33.45,17.95,4.53,3.21,10.49,22,1,1.059,2.33,552591.17,727892,17039.26
FLIGHT_0125,B777,145426,480,31614,31777,422,420,145.54,31.43,418.95,7.82,5.01,7.46,31,0,1.023,1.99,1084233.39,980034,154644.43
FLIGHT_0126,B777,150912,375,32783,32884,449,450,140.38,30.35,317.34,8.12,5.28,-12.66,34,0,1.015,0.11,-1911131.5,1114622,112004.68
FLIGHT_0127,A320,62635,96,38946,38453,443,444,74.43,38.63,20.35,5.0,3.41,-5.92,25,0,1.001,1.63,-370623.07,973650,17012.38
FLIGHT_0128,A330,150448,423,31065,30775,463,461,89.11,32.18,357.43,8.19,5.25,-5.47,30,0,1.062,0.96,-822363.35,931950,136292.91
FLIGHT_0129,B737,48646,238,36846,36361,451,450,77.3,36.35,169.71,5.34,3.36,1.4,22,0,1.005,1.9,68188.69,810612,49419.1
FLIGHT_0130,A320,52846,102,35303,34880,470,470,148.95,34.24,32.67,5.12,3.25,-2.34,26,0,0.99,2.15,-123838.1,917878,18432.03
FLIGHT_0131,A320,64278,223,34566,34347,429,428,112.57,34.27,151.8,5.56,3.6,-7.12,25,1,0.981,0.55,-457770.02,864150,43697.12
FLIGHT_0132,B737,62419,76,39642,39424,428,428,79.69,41.73,0.0,5.54,3.48,-7.63,28,1,1.052,0.09,-475968.61,1109976,15979.95
FLIGHT_0133,A320,48413,154,39356,39767,412,414,83.04,39.42,72.83,5.0,3.18,27.23,23,1,1.018,0.85,1318129.82,905188,35544.32
FLIGHT_0134,A330,123989,417,37621,37783,476,475,45.11,36.39,342.22,6.58,4.6,-10.54,29,0,0.98,2.63,-1306935.71,1091009,106245.75
FLIGHT_0135,A320,53756,133,39099,39576,424,423,91.02,39.92,56.75,5.11,3.28,-6.67,29,1,1.054,0.8,-358535.68,1133871,25607.94
FLIGHT_0136,B737,50693,159,34171,34229,444,442,116.19,31.38,98.47,4.72,3.2,-10.41,33,1,1.014,2.63,-527772.75,1127643,27941.27
FLIGHT_0137,B737,64827,93,39614,39271,406,407,143.19,41.57,12.35,5.43,3.65,-6.8,30,0,0.995,2.56,-440754.92,1188420,17808.53
FLIGHT_0138,B737,61620,122,31771,31346,409,409,149.66,31.09,60.03,5.4,3.46,-14.83,29,1,0.983,1.32,-913563.35,921359,21491.87
FLIGHT_0139,B737,46316,94,37312,36880,431,431,139.3,37.74,22.12,4.41,3.06,17.56,24,0,1.044,1.81,813132.75,895488,19467.2
FLIGHT_0140,A330,172900,609,38535,38079,414,414,129.25,39.21,528.94,8.66,5.42,-16.49,30,0,1.064,0.29,-2851300.66,1156050,192615.14
FLIGHT_0141,A330,173409,415,38011,38289,455,453,41.4,40.39,331.41,8.2,5.75,0.39,29,0,0.993,1.96,67724.09,1102319,139800.02
FLIGHT_0142,B777,160788,339,30801,30381,421,421,92.14,28.95,280.03,7.88,5.38,11.37,23,1,0.988,1.46,1828585.34,708423,112784.55
FLIGHT_0143,B777,170881,683,34753,35036,415,414,66.16,34.57,614.27,8.83,5.68,27.83,23,1,1.059,0.23,4755198.66,799319,274609.74
FLIGHT_0144,B777,153565,641,40140,39798,464,463,131.68,40.68,563.35,8.14,5.32,8.02,33,0,1.053,2.13,1231715.46,1324620,225572.52
FLIGHT_0145,B737,60692,122,31086,31196,450,450,46.51,30.3,60.3,4.99,3.47,3.64,26,0,1.016,0.89,221060.37,808236,24875.97
FLIGHT_0146,B777,155233,354,37344,37479,437,437,59.75,35.9,286.1,7.77,5.37,8.48,32,1,0.995,0.87,1316464.09,1195008,116259.29
FLIGHT_0147,A330,129564,684,38452,38099,408,406,50.74,39.06,607.33,6.72,4.78,14.41,23,1,1.066,0.34,1867270.38,884396,222090.97
FLIGHT_0148,A330,158366,648,31000,30933,423,422,88.65,28.91,589.25,8.06,5.18,0.53,23,0,1.044,0.08,83454.71,713000,208986.21
FLIGHT_0149,A330,155140,593,31157,31066,407,408,138.16,31.82,531.8,7.74,5.24,-7.38,31,1,1.033,2.55,-1144303.99,965867,188579.02
FLIGHT_0150,A330,134324,324,36701,37106,428,427,41.99,34.2,255.22,6.92,4.92,27.86,23,0,1.023,0.77,3742143.92,844123,108494.53
FLIGHT_0151,B777,144036,422,36851,36447,478,479,139.85,37.8,344.54,7.05,4.9,-6.95,23,1,1.023,0.45,-1001348.31,847573,119085.92
FLIGHT_0152,A320,54716,71,39411,39301,446,447,73.91,38.95,0.0,4.59,3.15,15.27,28,1,1.062,0.37,835286.07,1103508,15517.74
FLIGHT_0153,A320,45998,106,38880,38750,461,462,78.23,38.08,27.27,4.59,3.16,-11.31,23,0,1.042,1.26,-520468.34,894240,17143.82
FLIGHT_0154,B777,137643,631,30809,30972,464,464,43.67,30.83,571.97,6.84,4.84,-16.34,22,1,1.048,0.11,-2248742.17,677798,173618.87
FLIGHT_0155,B737,49369,103,39295,39718,433,433,95.89,39.49,22.89,4.55,3.02,1.91,30,0,0.982,2.37,94388.37,1178850,17216.75
FLIGHT_0156,A320,48891,181,40400,40878,468,467,86.75,42.51,95.57,4.59,3.11,21.21,29,1,1.018,1.64,1036785.57,1171600,38536.7
FLIGHT_0157,A330,139613,537,39439,39549,435,437,128.75,40.51,456.52,7.78,5.06,13.61,23,0,1.046,1.01,1899874.87,907097,180822.42
FLIGHT_0158,A320,64752,162,39306,39225,424,422,91.96,40.25,80.95,5.37,3.66,-19.81,26,1,1.03,2.12,-1282983.0,1021956,30473.21
FLIGHT_0159,B737,46616,155,32326,32413,435,435,139.81,30.47,95.16,4.81,3.27,-7.99,27,0,0.986,2.83,-372564.8,872802,27470.04
FLIGHT_0160,A320,46874,225,40244,39808,418,416,118.78,40.55,145.88,5.06,3.21,14.94,25,1,1.003,0.87,700233.19,1006100,48365.05
FLIGHT_0161,B777,150561,558,39227,38887,466,468,135.56,36.44,482.54,8.4,5.25,16.58,26,1,1.002,2.31,2495972.42,1019902,192316.36
FLIGHT_0162,A330,145926,620,35670,36105,420,420,89.44,37.75,544.23,7.98,5.02,14.38,23,1,1.043,1.6,2099111.62,820410,210537.65
FLIGHT_0163,A320,53944,232,34909,34648,460,460,45.37,32.33,164.62,4.65,3.24,-14.98,22,1,1.04,2.11,-808085.74,767998,40486.38
FLIGHT_0164,A320,47440,200,37380,37532,427,427,105.66,38.48,127.04,4.91,3.24,-10.64,34,0,1.008,0.6,-504673.77,1270920,35198.62
FLIGHT_0165,B777,171623,642,36555,36849,448,450,70.73,33.99,575.37,7.62,5.37,27.6,24,1,1.039,1.46,4737291.71,877320,242064.18
FLIGHT_0166,B737,58497,91,31227,30945,420,418,65.93,31.59,28.01,4.93,3.31,10.85,22,1,1.003,0.44,634947.09,686994,18445.07
FLIGHT_0167,B777,147734,650,33961,34174,437,439,83.07,32.47,584.45,7.64,5.15,-6.57,24,0,1.069,1.94,-970315.64,815064,208495.31
FLIGHT_0168,B737,46956,186,38211,37745,417,417,101.27,37.44,113.09,4.99,3.12,-5.5,33,1,1.02,0.44,-258140.0,1260963,33834.98
FLIGHT_0169,B777,155258,497,40251,40372,441,440,135.25,40.75,413.16,8.08,5.25,18.95,22,0,1.027,2.74,2942590.54,885522,175834.98
FLIGHT_0170,B777,130245,657,31015,31304,471,471,44.38,29.19,599.7,7.43,4.69,29.43,25,1,1.064,0.44,3833291.17,775375,227180.95
FLIGHT_0171,B777,155926,666,31926,31919,445,444,81.42,32.47,601.07,7.25,5.17,-2.35,30,1,1.017,1.29,-365743.95,957780,206731.93
FLIGHT_0172,B737,53928,119,36479,36863,432,430,61.62,37.95,40.82,5.2,3.41,19.33,24,0,0.997,2.57,1042209.83,875496,26283.67
